Time Interval,Agent 1,Agent 0,Agent 3,Agent 4,Agent 2
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,53.43376513927768,0.0,0.0,0.0
4,0.0,53.43376513927768,68.36656841530534,0.0,0.0
5,0.0,53.43376513927768,68.36656841530534,78.21918998428025,0.0
6,32.17758647519857,37.46517986744232,68.36656841530534,78.21918998428025,0.0
7,32.17758647519857,37.46517986744232,56.80672020657359,78.21918998428025,47.766980969912794
8,84.7476059671002,37.46517986744232,56.80672020657359,64.59888749157871,47.766980969912794
9,71.43210436303231,84.1625855772331,56.80672020657359,64.59888749157871,47.766980969912794
10,103.50590729039553,84.1625855772331,62.63277877784944,64.59888749157871,82.2258777229735
11,103.50590729039553,79.61759726801644,107.85710010625712,95.09032113182126,82.2258777229735
12,103.50590729039553,88.44930543072104,107.85710010625712,95.09032113182126,73.11711472456419
13,103.50590729039553,88.44930543072104,107.85710010625712,95.09032113182126,137.53243658573524
14,103.50590729039553,151.9000745616763,107.85710010625712,95.09032113182126,117.22919855621151
15,103.50590729039553,151.9000745616763,107.85710010625712,165.962351223894,153.94070590436584
16,146.3733662744253,151.9000745616763,150.91452667871533,165.962351223894,153.94070590436584
17,190.8726626664008,198.10494635018333,150.91452667871533,132.6039247698181,159.98572672775313
18,190.8726626664008,178.52607297841118,150.91452667871533,207.01408309005163,159.98572672775313
19,177.8870401688519,217.35326402351848,150.91452667871533,207.01408309005163,193.20148761248868
20,157.14416589638205,217.35326402351848,212.63060992374022,185.1742732988996,193.20148761248868
21,248.5467988493647,189.7252083972192,200.50418348831852,185.1742732988996,193.20148761248868
22,215.89766910316936,172.83066781202768,179.22767420319718,228.89821827981135,182.4507473764567
23,215.89766910316936,215.7434520994213,188.29166165036457,217.09703099034357,206.24693920698246
24,190.4769779758233,215.7434520994213,188.29166165036457,174.4084361104873,195.25437538752334
25,190.04039759541746,198.220845009032,237.04775208083862,265.02319380193126,186.16511962867628
26,190.04039759541746,198.220845009032,237.04775208083862,265.02319380193126,212.65190237391656
27,190.04039759541746,204.842954645209,237.04775208083862,254.12572849764203,202.65122528517128
28,224.01940705045507,204.842954645209,237.04775208083862,236.13420547945205,216.3923265016367
29,224.01940705045507,217.36017650609568,237.04775208083862,236.13420547945205,188.52966640260004
