Time Interval,Agent 16
0,0.0
1,0.0
2,0.0
3,9.18
4,9.18
5,31.02
6,31.02
7,31.02
8,31.02
9,31.02
10,66.0
11,66.0
12,66.0
13,56.83
14,56.83
15,56.83
16,56.83
17,56.83
18,56.83
19,56.83
20,56.83
21,56.83
22,76.58
23,76.58
24,76.58
25,73.37
26,73.37
27,73.37
28,59.76
29,53.28
30,53.28
31,53.28
32,87.05
33,87.05
34,87.05
35,87.05
36,87.05
37,87.05
38,87.05
39,87.05
40,87.05
41,87.05
42,72.16
43,72.16
44,72.16
45,72.16
46,72.16
47,72.16
48,72.16
49,72.16
50,72.16
51,72.16
52,72.16
53,72.16
54,72.16
55,72.16
56,72.16
57,72.16
58,72.17
59,72.17
60,72.17
61,72.17
62,72.17
63,72.17
64,53.27
65,53.27
66,39.8
67,39.8
68,12.78
69,12.78
70,6.76
71,6.76
72,6.76
73,6.76
74,6.76
75,6.76
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
