job_id,created_at,selection_started_at,selected_by_agent_at,scheduled_at,completed_at,exit_status,leader_id
32,1758857901.042665,1758857901.5840719,1758857902.096398,0,1758857919.780803,0,1
49,1758857902.064801,1758857903.0983691,1758857903.101047,0,1758857903.57756,0,3
76,1758857905.127265,1758857905.6759849,1758857906.184688,0,1758857921.308258,0,1
50,1758857902.0648582,1758857902.6053681,1758857903.108402,0,1758857919.782388,0,1
71,1758857905.1268322,1758857905.67597,1758857906.181176,0,0,0,1
53,1758857903.0886981,1758857903.6255538,1758857904.140673,0,1758857919.786417,0,1
75,1758857905.127179,1758857906.1469781,1758857906.653654,0,1758857907.0397608,0,4
35,1758857901.042871,1758857901.584047,1758857902.091409,0,1758857904.073948,0,1
97,1758857907.1678798,1758857907.72693,1758857908.24273,0,1758857936.535349,0,1
46,1758857902.064631,1758857902.605386,1758857903.1128051,0,1758857905.5957491,0,1
41,1758857902.0642712,1758857902.605393,1758857903.114105,0,1758857914.717744,0,1
59,1758857903.089018,1758857903.6255229,1758857904.130131,0,1758857905.598214,0,1
91,1758857907.167629,1758857908.1779761,1758857908.6847548,0,1758857909.129712,0,3
84,1758857906.1484811,1758857906.701321,1758857907.211488,0,1758857907.633889,0,1
64,1758857904.10814,1758857904.625674,1758857905.138761,0,1758857905.600585,0,3
52,1758857903.088636,1758857903.62553,1758857904.131711,0,1758857919.7837389,0,1
44,1758857902.064513,1758857902.6036968,1758857903.111458,0,1758857940.067764,0,1
80,1758857905.127533,1758857905.676011,1758857906.1911318,0,0,0,1
81,1758857906.1482491,1758857907.1684659,1758857907.671395,0,1758857908.077329,0,2
5,1758857897.9362051,1758857899.4974499,1758857900.0362828,0,1758857952.6808362,0,1
56,1758857903.088861,1758857903.625535,1758857904.133148,0,1758857907.1273699,0,1
23,1758857900.008598,1758857901.058947,1758857901.076468,0,1758857901.5361652,0,1
57,1758857903.088914,1758857903.625563,1758857904.143309,0,1758857909.6493142,0,1
86,1758857906.148567,1758857906.701359,1758857907.2190878,0,1758857931.457658,0,1
2,1758857897.936089,1758857899.49736,1758857900.013481,0,1758857900.4971972,0,1
55,1758857903.0888069,1758857903.625559,1758857904.141906,0,1758857906.613564,0,1
51,1758857903.0885289,1758857903.625539,1758857904.134604,0,1758857905.6001432,0,1
99,1758857907.167945,1758857907.7268841,1758857908.23513,0,1758857931.971216,0,1
42,1758857902.06438,1758857902.605406,1758857903.116875,0,1758857903.558793,0,1
67,1758857904.1083121,1758857904.654353,1758857905.1624918,0,1758857906.615826,0,1
66,1758857904.108255,1758857904.625667,1758857905.136673,0,1758857934.283456,0,3
87,1758857906.148609,1758857906.703101,1758857907.2206452,0,1758857948.134412,0,1
90,1758857906.14873,1758857906.701352,1758857907.2176251,0,1758857942.5859892,0,1
24,1758857900.008766,1758857901.0588968,1758857901.065202,0,1758857902.043305,0,1
37,1758857901.0429811,1758857901.584065,1758857902.0944781,0,0,0,1
25,1758857900.008929,1758857901.058933,1758857901.073283,0,0,0,1
9,1758857897.936346,1758857899.497438,1758857900.034299,0,1758857958.7354171,0,1
3,1758857897.936131,1758857900.007825,1758857900.022539,0,1758857900.4957561,0,4
19,1758857898.971189,1758857900.041513,1758857900.5568728,0,1758857934.2815979,0,3
40,1758857901.0431612,1758857902.076053,1758857902.080543,0,1758857919.20667,0,3
1,1758857897.936026,1758857899.5161002,1758857900.028671,0,1758857900.511948,0,5
20,1758857898.9712791,1758857900.041499,1758857900.5537531,0,1758857901.037746,0,3
98,1758857907.167912,1758857907.726893,1758857908.236546,0,1758857919.791088,0,1
26,1758857900.009114,1758857901.058912,1758857901.068344,0,1758857904.070532,0,1
77,1758857905.1273332,1758857905.675998,1758857906.188163,0,1758857950.654124,0,1
83,1758857906.148422,1758857906.70133,1758857907.213161,0,1758857931.453681,0,1
16,1758857898.970871,1758857900.041506,1758857900.555252,0,1758857901.041464,0,3
34,1758857901.042809,1758857902.0760698,1758857902.0843,0,1758857903.069797,0,3
54,1758857903.088753,1758857903.62555,1758857904.13946,0,1758857919.7850392,0,1
89,1758857906.14869,1758857906.701344,1758857907.2160692,0,1758857924.355802,0,1
10,1758857897.936376,1758857899.4974,1758857900.026452,0,1758857900.508099,0,1
18,1758857898.9710562,1758857900.041493,1758857900.5519512,0,1758857901.033865,0,3
58,1758857903.0889652,1758857903.6255438,1758857904.1362822,0,1758857916.737256,0,1
30,1758857900.009732,1758857901.058926,1758857901.0717728,0,1758857919.779412,0,1
63,1758857904.1080792,1758857904.6256819,1758857905.140936,0,1758857905.6026921,0,3
33,1758857901.042745,1758857902.076041,1758857902.0784798,0,1758857902.562509,0,3
29,1758857900.009611,1758857901.058919,1758857901.070001,0,1758857919.777992,0,1
8,1758857897.9363148,1758857899.497411,1758857900.029536,0,1758857900.512783,0,1
88,1758857906.14865,1758857906.703128,1758857907.2232609,0,1758857954.695959,0,1
48,1758857902.064748,1758857902.605377,1758857903.110071,0,1758857903.556858,0,1
4,1758857897.936172,1758857899.497427,1758857900.031978,0,1758857900.5161521,0,1
38,1758857901.0430431,1758857901.584079,1758857902.09798,0,1758857905.592561,0,1
22,1758857900.0083961,1758857901.0589051,1758857901.066675,0,1758857904.06607,0,1
45,1758857902.0645728,1758857902.6053991,1758857903.115374,0,1758857907.1255958,0,1
61,1758857904.1079109,1758857904.654334,1758857905.1584918,0,1758857939.561437,0,1
