Time Interval,Agent 0,Agent 1,Agent 2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,94.27075024349973,130.7578437605073,0.0
4,26.480151620518637,130.7578437605073,79.80668543741996
5,26.480151620518637,65.24393383969189,71.38818187221412
6,103.50542710817895,84.39101975968391,100.6835702225987
7,69.83673653431262,76.87518271612376,86.74063045933707
8,175.54568240417092,192.96420289084998,95.54096394865972
9,128.0949042598727,192.96420289084998,109.73035382459447
10,95.55004814076013,130.44369001386474,280.37840462588696
11,81.19127879549481,80.44481231132997,299.76713838981556
12,125.57279112959472,14.708558760912313,242.75043470893016
13,353.1094749098695,14.708558760912313,181.5269934602432
14,321.78981582727886,0.0,104.79789297918555
15,261.7158143286626,15.942179939713288,10.895715352679245
16,130.39779048144825,15.942179939713288,0.0
17,107.94047607246634,15.942179939713288,0.0
18,81.46564441262173,15.942179939713288,0.0
19,6.959998510534033,0.0,0.0
20,6.959998510534033,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,,
