Time Interval,Agent 0,Agent 7,Agent 2,Agent 8,Agent 4,Agent 3,Agent 5,Agent 6,Agent 9,Agent 1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,83.43346399518953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,83.43346399518953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,26.559148126297636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,37.687249690836275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,26.559148126297636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,26.559148126297636,69.24703170259477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,128.23814160890066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,107.65668327566962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,60.73363936279077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,110.01406170130335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,75.1033538169997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,33.12546640201599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,33.12546640201599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,54.71637870724142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,60.15944087060727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,41.026179293633604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,41.026179293633604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,95.5152667527121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,122.35932156788463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,130.08623118482447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,70.18873308328273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,61.54849470309907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,43.536492565016516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,47.922664706133645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,37.054467057422926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,35.06918983403559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,12.789317189093557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,12.789317189093557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,40.48290151746533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,25.89081124132774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,83.03752464988085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,118.09863575553604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,164.9232061442038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,192.00029974218288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,97.44036153751914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,67.23613815546217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,104.37353331367562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,29.735713313292624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,29.735713313292624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,20.583312960558718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,20.583312960558718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
