Time Interval,Agent 0,Agent 6,Agent 2,Agent 1,Agent 7,Agent 8,Agent 9,Agent 3,Agent 5,Agent 4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.804853361139802,37.95233135967257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.804853361139802,37.95233135967257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.804853361139802,37.95233135967257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.804853361139802,37.95233135967257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.804853361139802,37.95233135967257,27.170787190504534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.804853361139802,37.95233135967257,27.170787190504534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6.804853361139802,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,0.0,0.0,0.0,0.0
10,6.804853361139802,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,0.0,0.0,0.0,0.0
11,6.804853361139802,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,0.0,0.0,0.0,0.0
12,6.804853361139802,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,0.0,0.0,0.0,0.0
13,6.804853361139802,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,0.0,0.0,0.0,0.0
14,6.804853361139802,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,0.0,0.0,0.0,0.0
15,18.33796116990144,37.95233135967257,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,32.8863063262805,0.0,0.0,0.0
16,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,32.8863063262805,0.0,0.0,0.0
17,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,27.17420125137746,5.59644371285391,32.8863063262805,0.0,0.0,0.0
18,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,0.0,5.59644371285391,32.8863063262805,0.0,0.0,0.0
19,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,26.272976844288113,5.59644371285391,32.8863063262805,0.0,0.0,0.0
20,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,26.272976844288113,5.59644371285391,32.8863063262805,17.100608714772683,0.0,0.0
21,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,26.272976844288113,5.59644371285391,32.8863063262805,17.100608714772683,0.0,0.0
22,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,26.272976844288113,5.59644371285391,32.8863063262805,17.100608714772683,0.0,0.0
23,18.33796116990144,16.711018222894275,27.170787190504534,30.56056717084921,26.272976844288113,5.59644371285391,32.8863063262805,17.100608714772683,0.0,0.0
24,18.33796116990144,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,5.59644371285391,32.8863063262805,17.100608714772683,0.0,0.0
25,18.33796116990144,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,0.0,0.0
26,18.33796116990144,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,13.709855766262525,33.34501768370846
27,18.33796116990144,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,13.709855766262525,33.34501768370846
28,18.33796116990144,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,13.709855766262525,33.34501768370846
29,18.33796116990144,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,13.709855766262525,33.34501768370846
30,28.747196901502946,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,13.709855766262525,33.34501768370846
31,28.747196901502946,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,32.8863063262805,17.100608714772683,13.709855766262525,33.34501768370846
32,28.747196901502946,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,15.390520560452526,17.100608714772683,13.709855766262525,33.34501768370846
33,28.747196901502946,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,15.390520560452526,17.100608714772683,13.709855766262525,33.34501768370846
34,28.747196901502946,16.711018222894275,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,15.390520560452526,17.100608714772683,13.709855766262525,33.34501768370846
35,28.747196901502946,33.838092323215726,19.655104095615037,6.978002486796639,26.272976844288113,30.178539412998155,15.390520560452526,17.100608714772683,13.709855766262525,33.34501768370846
