Time Interval,Agent 0,Agent 1,Agent 2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,7.874961370918651,0.0,0.0
4,7.874961370918651,10.433761816659754,0.0
5,7.874961370918651,10.433761816659754,25.467603407410706
6,21.281318496980543,29.882014275848164,25.467603407410706
7,47.29520419750234,46.18350212979525,42.89740524857157
8,47.29520419750234,46.18350212979525,64.66057664445088
9,64.18215248369016,63.294072144112675,59.66898149180096
10,90.3042601773087,85.78392938398117,76.9403953889248
11,108.6652867932783,85.78392938398117,101.39851696646828
12,108.6652867932783,101.96833644990566,96.98932769394229
13,108.6652867932783,99.95529130134796,105.38201283165785
14,108.6652867932783,118.62351726884651,105.38201283165785
15,108.6652867932783,118.62351726884651,139.12370494616943
16,137.14823993943878,148.50006645607942,139.12370494616943
17,156.43560050811783,148.50006645607942,158.15471843909975
18,143.8747491567554,174.7503447780337,165.13845559443936
19,169.13674217566523,189.37927050429076,192.63175073743022
20,206.16123633132693,189.37927050429076,192.63175073743022
21,206.16123633132693,207.2655474228801,192.63175073743022
22,202.9484759741861,212.0132608420916,222.74324108953925
23,219.39821155136522,215.83750023510405,222.74324108953925
24,229.0835517330653,234.0870841999186,229.7000001857507
25,238.0910231012557,234.0870841999186,248.84442710771313
26,238.0910231012557,244.55589814203452,238.84494795265584
27,239.05994928243308,254.07295996499673,256.5341495218777
28,260.99634355058197,285.35395968023204,271.88375535890754
29,292.18770171713027,279.19799944597935,291.2054504825803
30,292.18770171713027,283.34837790576233,291.2054504825803
31,292.18770171713027,283.34837790576233,291.2054504825803
32,294.49308654143147,294.66829924572016,294.7985028494156
33,294.49308654143147,294.66829924572016,294.7985028494156
34,280.3383027209129,277.7570958363319,298.76175058882967
35,280.3383027209129,295.77980552687563,285.46441258200895
36,292.2569947516883,294.43025765259574,284.113755767559
37,293.90659043670115,296.08965181666963,270.16659459539784
38,293.90659043670115,296.08965181666963,294.9665667327939
39,278.70373086058055,296.08965181666963,294.9665667327939
40,268.86806481001287,296.08965181666963,294.9665667327939
41,268.86806481001287,296.08965181666963,294.9665667327939
42,268.86806481001287,269.1382915128591,294.9665667327939
43,268.86806481001287,269.1382915128591,261.2248746182823
44,296.35770418726133,269.1382915128591,289.54933092600436
45,273.82044408286856,291.39715734450215,289.54933092600436
46,293.0867612649037,292.79743483328065,289.54933092600436
47,293.0867612649037,283.08365889057944,297.0568285669706
48,269.7953055834793,283.08365889057944,297.0568285669706
49,269.7953055834793,283.08365889057944,297.0568285669706
50,289.6912348443326,290.884897888947,292.44710396094774
51,289.6912348443326,290.884897888947,278.3874480826814
52,274.9006869668019,290.884897888947,278.3874480826814
53,286.2888769956652,290.884897888947,269.37891841086565
54,264.35248272751625,263.89845206665535,269.37891841086565
55,264.35248272751625,279.6810165437361,269.37891841086565
56,224.9441513194924,279.6810165437361,269.37891841086565
57,224.9441513194924,248.40001682850072,238.09489111294383
58,224.9441513194924,217.92255642744786,238.09489111294383
59,213.55596129062914,188.43812733598563,238.09489111294383
60,194.12186471546795,168.97604643577301,218.77319598927102
61,162.3935880435824,168.97604643577301,218.77319598927102
62,162.3935880435824,168.97604643577301,187.76189398836456
63,162.3935880435824,141.75118415725342,160.53120537339603
64,162.3935880435824,141.75118415725342,160.53120537339603
65,162.3935880435824,141.75118415725342,160.53120537339603
66,162.3935880435824,141.75118415725342,160.53120537339603
67,135.77351675387908,117.18764927457612,160.53120537339603
68,135.77351675387908,94.1374112502817,137.47841502648805
69,135.77351675387908,94.1374112502817,137.47841502648805
70,135.77351675387908,71.19962766942092,114.53565001597455
71,135.77351675387908,71.19962766942092,114.53565001597455
72,135.77351675387908,71.19962766942092,114.53565001597455
73,104.58215858733081,38.0414303087238,79.68230576050048
74,70.7883548886065,38.0414303087238,50.12901908774119
75,43.9879118421279,0.0,50.12901908774119
76,43.9879118421279,0.0,50.12901908774119
77,43.9879118421279,0.0,50.12901908774119
78,43.9879118421279,0.0,50.12901908774119
79,43.9879118421279,0.0,50.12901908774119
80,43.9879118421279,0.0,22.04219995690584
81,24.09198258127469,0.0,22.04219995690584
82,0.0,0.0,22.04219995690584
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
