Time Interval,Agent 19
0,0.0
1,0.0
2,53.32
3,53.32
4,53.32
5,53.32
6,53.33
7,87.04
8,73.43
9,54.02
10,48.3
11,48.3
12,113.14
13,113.14
14,113.14
15,113.14
16,113.14
17,113.14
18,113.15
19,113.15
20,113.15
21,113.15
22,113.15
23,113.15
24,113.16
25,113.16
26,113.16
27,113.16
28,113.16
29,113.16
30,113.16
31,113.16
32,106.68
33,106.68
34,106.68
35,106.68
36,106.68
37,106.68
38,106.68
39,106.68
40,86.94
41,86.94
42,86.94
43,86.94
44,86.94
45,86.94
46,86.94
47,75.83
48,75.83
49,75.83
50,64.85
51,64.85
52,64.85
53,64.85
54,64.85
55,64.85
56,64.85
57,64.85
58,64.85
59,64.85
60,64.85
61,64.85
62,64.86
63,64.86
64,64.86
65,64.86
66,64.86
67,64.86
68,64.86
69,31.95
70,31.95
71,31.95
72,31.95
73,31.95
74,31.95
75,31.95
76,31.95
77,31.95
78,17.09
79,17.09
80,17.09
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
